id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1152099114856910849,Fri Jul 19 06:13:28 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @ThomasWillner: RT MSCloud: Microsoft partner Buhler_Group has continued to drive growth through #DigitalTransformation. Find out more:…,RT ThomasWillner RT MSCloud Microsoft partner Buhler_Group continued drive growth DigitalTransformation Find …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,hosebei,,DigitalTransformation,ThomasWillner,Bern,
1152099107420418048,Fri Jul 19 06:13:26 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @CiscoIoT: Learn how @ROKAutomation &amp; @Cisco can help with a holistic blueprint for your #mining #DigitalTransformation. Join the webina…,RT CiscoIoT Learn ROKAutomation amp Cisco help holistic blueprint mining DigitalTransformation Join webina…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,Interne18510332,,"mining, DigitalTransformation","CiscoIoT, ROKAutomation, Cisco",US New york,
1152099086776094720,Fri Jul 19 06:13:21 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Very provoking but pragmatic advices for #digitalhealth #entrepeneurs Agree with 90%. https://t.co/MJiJUvxkXl,Very provoking pragmatic advices digitalhealth entrepeneurs Agree 90 https //t.co/MJiJUvxkXl,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3,en,0,0,jpedroalmeida_,False,"digitalhealth, entrepeneurs",,"Porto, Portugal",
1152099038960992257,Fri Jul 19 06:13:10 +0000 2019,"<a href=""http://www.wonderland.fm/"" rel=""nofollow"">wonderland.fm</a>",How CIOs Can Internally Drive Their Shift To #DigitalTransformation Driver https://t.co/GjYQN4uUBA,How CIOs Can Internally Drive Their Shift To DigitalTransformation Driver https //t.co/GjYQN4uUBA,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,BigDataSpace,False,DigitalTransformation,,,
1152098801685028864,Fri Jul 19 06:12:13 +0000 2019,"<a href=""https://onloft.com/tweetlogix"" rel=""nofollow"">Tweetlogix</a>",RT @mtakeomagruder: I'm pleased to announce that I've been invited by @UkNatArchives to be their first ever artist-in-residence. It's an in…,RT mtakeomagruder I 'm pleased announce I 've invited UkNatArchives first ever artist-in-residence It 's in…,"Sentiment(polarity=0.375, subjectivity=0.6666666666666666)",0.375,0.6666666666666666,en,0,25,emmamarkiewicz,,,"mtakeomagruder, UkNatArchives",,
1152098776267595776,Fri Jul 19 06:12:07 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @digihealthnews: Digital care player provides bed management system to NHS Trust: https://t.co/BCmv2yOfYc #digitalhealth #bedmanagement…,RT digihealthnews Digital care player provides bed management system NHS Trust https //t.co/BCmv2yOfYc digitalhealth bedmanagement…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,jshrima,False,"digitalhealth, bedmanagement",digihealthnews,Sutton Coldfield UK,
1152098642506858496,Fri Jul 19 06:11:35 +0000 2019,"<a href=""https://www.directorstalk.net"" rel=""nofollow"">DirectorsTalk Auto Posting</a>",Cambridge Cognition Holdings Further Scientific Validation for NeuroVocalixTM - https://t.co/A0czZxTWkQ - #COG… https://t.co/TmSBESRbi6,Cambridge Cognition Holdings Further Scientific Validation NeuroVocalixTM https //t.co/A0czZxTWkQ COG… https //t.co/TmSBESRbi6,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,0,DirectorsTalk,False,COG,,,
1152098391008006145,Fri Jul 19 06:10:36 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#IoT is the next #digitaltransformation
https://t.co/BYzap09D8e",IoT next digitaltransformation https //t.co/BYzap09D8e,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,BizAcuity,False,"IoT, digitaltransformation",,"Atlanta, Hyderabad, Bangalore",
1152098314088853504,Fri Jul 19 06:10:17 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Mi seguimiento 📡 sobre #eHealth Union Cabinet clears NMC Bill to reform medical education mbbs: https://t.co/n0UjgrMVNa,Mi seguimiento 📡 sobre eHealth Union Cabinet clears NMC Bill reform medical education mbbs https //t.co/n0UjgrMVNa,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,GhirardiEugenio,False,eHealth,,España,
1152098234241884160,Fri Jul 19 06:09:58 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Jlmerrick: Every company is a #tech company in the #FutureofWork. Learn what it takes with insights from @Slupusho, @TamaraMcCleary &amp; m…",RT Jlmerrick Every company tech company FutureofWork Learn takes insights Slupusho TamaraMcCleary amp m…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,5,Corix_JC,,"tech, FutureofWork","Jlmerrick, slupusho, TamaraMcCleary","London, England",
